codigo_ibge,anomes_s,qtd_familias_beneficiarias_bolsa_familia_s,valor_repassado_bolsa_familia_s,pbf_vlr_medio_benef_f
220470,202503,2714,1811917,668.11
220480,202503,1620,1062378,655.79
220490,202503,1811,1247657,688.93
220500,202503,2270,1465185,645.46
220510,202503,1987,1317545,663.08
220515,202503,1519,1004136,661.05
220520,202503,3859,2593040,671.95
220525,202503,1039,714123,687.32
220527,202503,1285,851765,662.85
220530,202503,1007,668239,663.59
220535,202503,628,406570,647.4
220540,202503,2667,1811975,679.92
220545,202503,1412,964930,683.86
220550,202503,6935,4677662,674.6
220551,202503,1165,796214,683.45
220552,202503,1070,734681,686.62
220553,202503,1572,1065937,679.37
220554,202503,613,414249,677.99
220555,202503,2677,1873234,699.75
220556,202503,966,631417,653.64
220557,202503,1291,861828,667.57
220558,202503,1007,687977,683.87
220559,202503,1321,889126,673.07
220560,202503,1414,930692,658.66
220570,202503,6048,4068342,672.68
220580,202503,5643,3813561,676.04
220585,202503,1665,1152949,692.46
220590,202503,1160,770346,664.09
220595,202503,2291,1569615,685.12
220600,202503,1122,749249,668.38
220605,202503,1051,672794,640.15
220610,202503,2911,1999239,686.79
220620,202503,8142,5726403,703.4
220630,202503,210,132574,631.3
220635,202503,1541,1034427,672.14
220640,202503,1698,1126772,663.98
220650,202503,2001,1320792,660.07
220660,202503,2012,1395463,693.57
220665,202503,1162,798761,687.4
220667,202503,1337,894787,669.75
220669,202503,1530,1054979,690.88
220670,202503,1672,1131539,676.76
220672,202503,2255,1540663,683.22
220675,202503,1054,696821,661.12
220680,202503,2843,1973236,695.54
220690,202503,1093,722204,660.75
220695,202503,760,505322,664.9
220700,202503,8545,5509838,644.8
220710,202503,554,380360,686.57
220720,202503,1730,1125475,650.56
220730,202503,998,697677,700.48
220735,202503,619,396402,640.39
220740,202503,896,614187,685.48
220750,202503,3569,2453701,688.28
220755,202503,1040,680320,655.41
220760,202503,2700,1841400,682.0
220770,202503,19429,12973705,667.78
220775,202503,1247,857435,689.26
220777,202503,975,629458,646.92
220779,202503,979,661303,675.49
220780,202503,4693,3174551,676.44
220785,202503,1252,829356,662.42
220790,202503,9120,6035845,661.9
220793,202503,736,499871,679.17
220795,202503,1132,745115,658.23
220800,202503,13004,8329021,640.64
220810,202503,2387,1576155,660.58
220820,202503,4638,3127713,674.51
220830,202503,5769,3834141,664.61
220840,202503,10849,7234687,667.34
220850,202503,2998,2166176,722.54
220855,202503,769,530140,689.39
220860,202503,913,609452,668.26
220865,202503,1600,1051706,657.32
220870,202503,2243,1541871,687.41
220880,202503,5297,3532624,666.91
220885,202503,1076,730272,678.69
220887,202503,1255,837693,667.48
220890,202503,1062,718388,677.72
220900,202503,1672,1091459,653.18
220910,202503,1356,888638,655.34
220915,202503,561,377774,673.39
220920,202503,1290,892623,692.49
220930,202503,1523,998482,655.6
220935,202503,652,452048,693.33
220937,202503,1002,664103,662.78
220940,202503,1337,883398,660.73
220945,202503,321,218497,680.68
220950,202503,784,520275,663.62
220955,202503,1183,771448,652.11
220960,202503,431,278230,645.55
220965,202503,1538,1021740,665.2
220970,202503,1408,925403,657.71
220975,202503,622,429927,692.31
220980,202503,1117,761487,681.73
220985,202503,1042,688446,660.7
220987,202503,1254,877559,700.93
220990,202503,1258,844900,673.76
220995,202503,1048,712438,679.81
220997,202503,2109,1448819,689.26
221000,202503,3713,2449961,659.83
221005,202503,1265,828515,654.95
221010,202503,764,497934,651.75
221020,202503,1233,820052,665.63
221030,202503,1203,785198,652.7
221035,202503,1101,707522,642.62
221037,202503,459,301760,657.43
221038,202503,338,220992,655.76
221039,202503,563,377251,670.07
221040,202503,3401,2224286,654.78
221050,202503,3563,2403038,677.1
221060,202503,7355,4829472,656.62
221062,202503,958,639737,667.78
221063,202503,865,587257,678.91
221065,202503,2217,1461066,659.03
221070,202503,2385,1617316,678.12
221080,202503,2505,1624098,648.86
221090,202503,1010,679970,673.24
221093,202503,1319,854500,649.81
221095,202503,698,464326,665.22
